Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-10-07,Milk,2008,https://letterboxd.com/rotoloboi/film/milk-2008/,5,,,2012-10-09
2017-09-19,The Circle,2017,https://letterboxd.com/rotoloboi/film/the-circle-2017/,2,,,2017-09-19
2017-09-19,Recount,2008,https://letterboxd.com/rotoloboi/film/recount/,4.5,,,2017-09-19
2017-09-25,It,2017,https://letterboxd.com/rotoloboi/film/it-2017/,4.5,,,2017-09-24
2017-10-07,Jennifer's Body,2009,https://letterboxd.com/rotoloboi/film/jennifers-body/,3,,,2017-10-06
2017-10-07,12 Angry Men,1957,https://letterboxd.com/rotoloboi/film/12-angry-men/,5,,,2017-10-06
2018-01-31,Call Me by Your Name,2017,https://letterboxd.com/rotoloboi/film/call-me-by-your-name/,5,,,2018-01-30
2018-03-21,"Love, Simon",2018,https://letterboxd.com/rotoloboi/film/love-simon/,5,,,2018-03-20
2018-03-21,The Shape of Water,2017,https://letterboxd.com/rotoloboi/film/the-shape-of-water/,4.5,,,2018-03-20
2018-05-06,Stranger by the Lake,2013,https://letterboxd.com/rotoloboi/film/stranger-by-the-lake/,3.5,,,2018-05-05
2018-05-06,My Friend Dahmer,2017,https://letterboxd.com/rotoloboi/film/my-friend-dahmer/,4,,,2018-05-05
2018-05-08,RBG,2018,https://letterboxd.com/rotoloboi/film/rbg/,4.5,,,2018-05-07
2018-05-13,Black Panther,2018,https://letterboxd.com/rotoloboi/film/black-panther-2018/,4,,,2018-05-12
2018-05-13,The Normal Heart,2014,https://letterboxd.com/rotoloboi/film/the-normal-heart/,5,,,2018-05-12
2018-05-15,Paris Is Burning,1990,https://letterboxd.com/rotoloboi/film/paris-is-burning/,4.5,,,2018-05-14
2018-06-19,The Blair Witch Project,1999,https://letterboxd.com/rotoloboi/film/the-blair-witch-project/,5,,,2018-06-18
2018-06-22,Thoroughbreds,2017,https://letterboxd.com/rotoloboi/film/thoroughbreds-2017/,4,,,2018-06-21
2018-07-04,Amélie,2001,https://letterboxd.com/rotoloboi/film/amelie/,4.5,,,2018-07-03
2018-07-06,Incredibles 2,2018,https://letterboxd.com/rotoloboi/film/incredibles-2/,5,,,2018-07-05
2018-07-08,Office Space,1999,https://letterboxd.com/rotoloboi/film/office-space/,4.5,,,2018-07-07
2018-07-08,Gangs of New York,2002,https://letterboxd.com/rotoloboi/film/gangs-of-new-york-2002/,4,,,2018-07-07
2018-07-11,The Truman Show,1998,https://letterboxd.com/rotoloboi/film/the-truman-show/,5,,,2018-07-10
2018-07-18,Rosemary's Baby,1968,https://letterboxd.com/rotoloboi/film/rosemarys-baby/,4,,,2018-07-17
2018-07-18,A Knight's Tale,2001,https://letterboxd.com/rotoloboi/film/a-knights-tale/,3.5,,,2018-07-17
2018-07-18,10 Things I Hate About You,1999,https://letterboxd.com/rotoloboi/film/10-things-i-hate-about-you/,4.5,,,2018-07-17
2018-08-06,The Transfiguration,2016,https://letterboxd.com/rotoloboi/film/the-transfiguration/,3.5,,,2018-08-05
2018-08-07,Thor: Ragnarok,2017,https://letterboxd.com/rotoloboi/film/thor-ragnarok/,4,,,2018-08-06
2018-08-12,Fight Club,1999,https://letterboxd.com/rotoloboi/film/fight-club/,4.5,,,2018-08-12
2018-08-14,Se7en,1995,https://letterboxd.com/rotoloboi/film/se7en/,4,,,2018-08-13
2018-08-15,Pulp Fiction,1994,https://letterboxd.com/rotoloboi/film/pulp-fiction/,4.5,,,2018-08-15
2018-08-16,Citizen Kane,1941,https://letterboxd.com/rotoloboi/film/citizen-kane/,5,,,2018-08-15
2018-08-17,Memento,2000,https://letterboxd.com/rotoloboi/film/memento/,4,,,2018-08-16
2018-08-20,This Is Spinal Tap,1984,https://letterboxd.com/rotoloboi/film/this-is-spinal-tap/,5,,,2018-08-19
2018-08-20,Drive,2011,https://letterboxd.com/rotoloboi/film/drive-2011/,4,,,2018-08-20
2018-08-21,In Bruges,2008,https://letterboxd.com/rotoloboi/film/in-bruges/,3.5,,,2018-08-21
2018-08-22,2001: A Space Odyssey,1968,https://letterboxd.com/rotoloboi/film/2001-a-space-odyssey/,3.5,,,2018-08-21
2018-08-24,Searching,2018,https://letterboxd.com/rotoloboi/film/searching-2018/,3.5,,,2018-08-23
2018-08-25,Léon: The Professional,1994,https://letterboxd.com/rotoloboi/film/leon-the-professional/,4.5,,,2018-08-24
2018-09-05,Vertigo,1958,https://letterboxd.com/rotoloboi/film/vertigo/,5,,,2018-09-05
2018-09-16,Hereditary,2018,https://letterboxd.com/rotoloboi/film/hereditary/,5,,,2018-09-15
2018-09-29,Split,2016,https://letterboxd.com/rotoloboi/film/split-2016/,3.5,,,2018-09-22
2018-09-29,Eighth Grade,2018,https://letterboxd.com/rotoloboi/film/eighth-grade/,4.5,,,2018-09-28
2018-10-03,The Killing of a Sacred Deer,2017,https://letterboxd.com/rotoloboi/film/the-killing-of-a-sacred-deer/,4,,,2018-10-02
2018-10-05,The Witch,2015,https://letterboxd.com/rotoloboi/film/the-witch-2015/,4,,,2018-10-04
2018-10-08,Don't Breathe,2016,https://letterboxd.com/rotoloboi/film/dont-breathe-2016/,3,,,2018-10-08
2018-10-16,"I, Tonya",2017,https://letterboxd.com/rotoloboi/film/i-tonya/,3.5,,,2018-10-15
2018-10-17,The Edge of Seventeen,2016,https://letterboxd.com/rotoloboi/film/the-edge-of-seventeen/,3.5,,,2018-10-16
2018-10-22,Sorry to Bother You,2018,https://letterboxd.com/rotoloboi/film/sorry-to-bother-you/,5,,,2018-10-22
2018-10-24,Lady Bird,2017,https://letterboxd.com/rotoloboi/film/lady-bird/,4.5,,,2018-10-23
2018-10-24,Baby Driver,2017,https://letterboxd.com/rotoloboi/film/baby-driver/,4,,,2018-10-23
2018-11-03,A Star Is Born,2018,https://letterboxd.com/rotoloboi/film/a-star-is-born-2018/,4,,,2018-11-02
2018-11-19,Boy Erased,2018,https://letterboxd.com/rotoloboi/film/boy-erased/,4,,,2018-11-18
2018-11-30,Henry Gamble's Birthday Party,2015,https://letterboxd.com/rotoloboi/film/henry-gambles-birthday-party/,2.5,,,2018-11-29
2018-12-07,The Florida Project,2017,https://letterboxd.com/rotoloboi/film/the-florida-project/,3.5,,,2018-12-06
2018-12-09,The Times of Harvey Milk,1984,https://letterboxd.com/rotoloboi/film/the-times-of-harvey-milk/,4.5,,,2018-12-08
2018-12-10,mother!,2017,https://letterboxd.com/rotoloboi/film/mother-2017/,2.5,,,2018-12-10
2018-12-15,Dumplin',2018,https://letterboxd.com/rotoloboi/film/dumplin/,2.5,,,2018-12-14
2018-12-15,Scrooge,1935,https://letterboxd.com/rotoloboi/film/scrooge-1935/,3,,,2018-12-14
2018-12-17,Springsteen On Broadway,2018,https://letterboxd.com/rotoloboi/film/springsteen-on-broadway/,3.5,,,2018-12-16
2018-12-18,Vox Lux,2018,https://letterboxd.com/rotoloboi/film/vox-lux/,5,,,2018-12-17
2018-12-22,BlacKkKlansman,2018,https://letterboxd.com/rotoloboi/film/blackkklansman/,5,,,2018-12-21
2018-12-24,Suspiria,2018,https://letterboxd.com/rotoloboi/film/suspiria-2018/,4.5,,,2018-12-23
2018-12-27,The Favourite,2018,https://letterboxd.com/rotoloboi/film/the-favourite/,4,,,2018-12-26
2018-12-29,Mary Poppins Returns,2018,https://letterboxd.com/rotoloboi/film/mary-poppins-returns/,2.5,,,2018-12-28
2018-12-31,Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/rotoloboi/film/spider-man-into-the-spider-verse/,5,,,2018-12-30
2019-01-01,Bird Box,2018,https://letterboxd.com/rotoloboi/film/bird-box/,2,,,2018-12-31
2019-01-01,Black Mirror: Bandersnatch,2018,https://letterboxd.com/rotoloboi/film/black-mirror-bandersnatch/,3,,,2018-12-31
2019-01-02,Bobby Sands: 66 Days,2016,https://letterboxd.com/rotoloboi/film/bobby-sands-66-days/,3.5,,,2019-01-01
2019-01-05,Borg vs McEnroe,2017,https://letterboxd.com/rotoloboi/film/borg-vs-mcenroe/,3.5,,,2019-01-04
2019-01-24,Fyre,2019,https://letterboxd.com/rotoloboi/film/fyre-2019/,3.5,,,2019-01-23
2019-01-25,What Happened to Monday,2017,https://letterboxd.com/rotoloboi/film/what-happened-to-monday/,2.5,,,2019-01-24
2019-01-26,American Circumcision,2017,https://letterboxd.com/rotoloboi/film/american-circumcision/,3,,,2019-01-24
2019-01-26,Extremis,2016,https://letterboxd.com/rotoloboi/film/extremis/,2.5,,,2019-01-25
2019-01-27,The American Meme,2018,https://letterboxd.com/rotoloboi/film/the-american-meme/,2,,,2019-01-26
2019-01-27,"My Teacher, My Obsession",2018,https://letterboxd.com/rotoloboi/film/my-teacher-my-obsession/,0.5,,,2019-01-27
2019-01-30,Avicii: True Stories,2017,https://letterboxd.com/rotoloboi/film/avicii-true-stories/,3,,,2019-01-29
2019-02-05,Velvet Buzzsaw,2019,https://letterboxd.com/rotoloboi/film/velvet-buzzsaw/,2.5,,,2019-02-04
2019-02-11,The Gate,1987,https://letterboxd.com/rotoloboi/film/the-gate/,2.5,,,2019-02-10
2019-02-11,Shrek Retold,2018,https://letterboxd.com/rotoloboi/film/shrek-retold/,4,,,2019-02-11
2019-02-15,Brooklyn,2015,https://letterboxd.com/rotoloboi/film/brooklyn/,4,Yes,,2019-02-14
2019-02-17,Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/rotoloboi/film/eternal-sunshine-of-the-spotless-mind/,4.5,,,2019-02-16
2019-02-22,Goodnight Mommy,2014,https://letterboxd.com/rotoloboi/film/goodnight-mommy/,4,,,2019-02-21
2019-03-03,Grandmother's Gold,2018,https://letterboxd.com/rotoloboi/film/grandmothers-gold/,2.5,,,2019-03-02
2019-03-04,Transformer,2018,https://letterboxd.com/rotoloboi/film/transformer-2018/,3.5,,,2019-03-04
2019-03-15,Nothing to Hide,2018,https://letterboxd.com/rotoloboi/film/nothing-to-hide-2018/,3.5,,,2019-03-15
2019-04-23,Captain America: The First Avenger,2011,https://letterboxd.com/rotoloboi/film/captain-america-the-first-avenger/,3.5,,,2019-04-22
2019-04-25,Ant-Man and the Wasp,2018,https://letterboxd.com/rotoloboi/film/ant-man-and-the-wasp/,2.5,,,2019-04-24
2019-05-25,Avengers: Endgame,2019,https://letterboxd.com/rotoloboi/film/avengers-endgame/,4,,,2019-04-29
2019-05-31,Brightburn,2019,https://letterboxd.com/rotoloboi/film/brightburn/,2.5,,,2019-05-30
2019-06-06,Stonewall Uprising,2010,https://letterboxd.com/rotoloboi/film/stonewall-uprising/,3.5,,,2019-06-06
2019-06-12,The Birdcage,1996,https://letterboxd.com/rotoloboi/film/the-birdcage/,4,,,2019-06-11
2019-07-04,Midsommar,2019,https://letterboxd.com/rotoloboi/film/midsommar/,5,,,2019-07-03
2019-07-10,The Graduate,1967,https://letterboxd.com/rotoloboi/film/the-graduate/,3.5,,,2019-07-09
2019-08-07,Pokémon Detective Pikachu,2019,https://letterboxd.com/rotoloboi/film/pokemon-detective-pikachu/,3,,,2019-08-05
2019-08-10,Dan in Real Life,2007,https://letterboxd.com/rotoloboi/film/dan-in-real-life/,3,,,2019-08-08
2019-08-15,The Farewell,2019,https://letterboxd.com/rotoloboi/film/the-farewell-2019/,4.5,,,2019-08-13
2019-08-15,The Notebook,2004,https://letterboxd.com/rotoloboi/film/the-notebook/,3,,,2019-08-13
2019-08-17,Your Sister's Sister,2011,https://letterboxd.com/rotoloboi/film/your-sisters-sister/,3.5,,,2019-08-15
2019-08-26,Roll Red Roll,2018,https://letterboxd.com/rotoloboi/film/roll-red-roll/,3.5,,,2019-08-25
2019-08-27,The Hateful Eight,2015,https://letterboxd.com/rotoloboi/film/the-hateful-eight/,4.5,,,2019-08-25
2019-09-06,Love & Other Drugs,2010,https://letterboxd.com/rotoloboi/film/love-other-drugs/,2.5,,,2019-09-06
2019-09-20,Glitter,2001,https://letterboxd.com/rotoloboi/film/glitter/,1,,,2019-09-19
2019-10-11,Paddington 2,2017,https://letterboxd.com/rotoloboi/film/paddington-2/,4.5,,,2019-10-10
2020-05-11,It Chapter Two,2019,https://letterboxd.com/rotoloboi/film/it-chapter-two/,3.5,,,2019-10-11
2019-11-30,Hustlers,2019,https://letterboxd.com/rotoloboi/film/hustlers-2019/,3.5,,,2019-11-29
2019-11-30,Us,2019,https://letterboxd.com/rotoloboi/film/us-2019/,3.5,,,2019-11-29
2019-11-30,Magic Mike XXL,2015,https://letterboxd.com/rotoloboi/film/magic-mike-xxl/,2.5,,,2019-11-29
2019-12-01,Someone Great,2019,https://letterboxd.com/rotoloboi/film/someone-great/,3,,,2019-11-30
2019-12-03,How to Lose a Guy in 10 Days,2003,https://letterboxd.com/rotoloboi/film/how-to-lose-a-guy-in-10-days/,3,,,2019-12-02
2019-12-06,Ready or Not,2019,https://letterboxd.com/rotoloboi/film/ready-or-not-2019/,3.5,,,2019-12-05
2019-12-14,Long Shot,2019,https://letterboxd.com/rotoloboi/film/long-shot-2019/,3,,,2019-12-13
2019-12-18,The Holiday,2006,https://letterboxd.com/rotoloboi/film/the-holiday/,3.5,,,2019-12-16
2019-12-23,Unaccompanied Minors,2006,https://letterboxd.com/rotoloboi/film/unaccompanied-minors/,2,,,2019-12-21
2019-12-27,It's a Wonderful Life,1946,https://letterboxd.com/rotoloboi/film/its-a-wonderful-life/,4.5,,,2019-12-25
2019-12-28,Bombshell,2019,https://letterboxd.com/rotoloboi/film/bombshell-2019/,3.5,,,2019-12-27
2019-12-30,Swiped,2018,https://letterboxd.com/rotoloboi/film/swiped-2018/,0.5,,,2019-12-29
2020-01-02,Brothers,2009,https://letterboxd.com/rotoloboi/film/brothers-2009/,2.5,,,2020-01-01
2020-01-02,It Comes at Night,2017,https://letterboxd.com/rotoloboi/film/it-comes-at-night/,2.5,,,2020-01-01
2020-01-10,Marriage Story,2019,https://letterboxd.com/rotoloboi/film/marriage-story-2019/,4,,,2020-01-09
2020-01-12,The Invention of Lying,2009,https://letterboxd.com/rotoloboi/film/the-invention-of-lying/,3.5,,,2020-01-11
2020-01-13,Chloe,2009,https://letterboxd.com/rotoloboi/film/chloe/,1,,,2020-01-12
2020-01-31,Hail Satan?,2019,https://letterboxd.com/rotoloboi/film/hail-satan/,4,,,2020-01-29
2020-01-31,Hannah Montana: The Movie,2009,https://letterboxd.com/rotoloboi/film/hannah-montana-the-movie/,2,,,2020-01-30
2020-02-26,Inglourious Basterds,2009,https://letterboxd.com/rotoloboi/film/inglourious-basterds/,4.5,,,2020-02-23
2020-03-11,Parasite,2019,https://letterboxd.com/rotoloboi/film/parasite-2019/,4,,,2020-03-01
2020-03-15,Aquamarine,2006,https://letterboxd.com/rotoloboi/film/aquamarine/,1.5,,,2020-03-14
2020-03-15,Arrival,2016,https://letterboxd.com/rotoloboi/film/arrival-2016/,4.5,Yes,,2020-03-14
2020-03-19,Fun with Dick and Jane,2005,https://letterboxd.com/rotoloboi/film/fun-with-dick-and-jane-1996/,2.5,,,2020-03-18
2020-03-19,Wonder,2017,https://letterboxd.com/rotoloboi/film/wonder-2017/,3,,,2020-03-18
