Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-08-21,In Bruges,2008,https://letterboxd.com/rotoloboi/film/in-bruges/,3.5,,The absolute weirdest thing I’ve ever seen. The adults are children,,2018-08-21
2018-08-24,Searching,2018,https://letterboxd.com/rotoloboi/film/searching-2018/,3.5,,The attention to detail in this film was amazing. Every detail is valuable and every answer is given in the film.,,2018-08-23
2018-08-25,Léon: The Professional,1994,https://letterboxd.com/rotoloboi/film/leon-the-professional/,4.5,,Lolita meets Pulp Fiction.,,2018-08-24
2018-09-05,Vertigo,1958,https://letterboxd.com/rotoloboi/film/vertigo/,5,,Amazing story and execution,,2018-09-05
2018-09-16,Hereditary,2018,https://letterboxd.com/rotoloboi/film/hereditary/,5,,My Fitbit logged an exercise because my heart rate was never under 103.,,2018-09-15
2018-09-29,Split,2016,https://letterboxd.com/rotoloboi/film/split-2016/,3.5,,Typical shyamalan,,2018-09-22
2018-09-29,Eighth Grade,2018,https://letterboxd.com/rotoloboi/film/eighth-grade/,4.5,,Heart breaking,,2018-09-28
2018-10-03,The Killing of a Sacred Deer,2017,https://letterboxd.com/rotoloboi/film/the-killing-of-a-sacred-deer/,4,,Literally Iphigenia put to film. Crazy crazy weird af lobster on a rollercoaster.,,2018-10-02
2018-10-05,The Witch,2015,https://letterboxd.com/rotoloboi/film/the-witch-2015/,4,,Chekhov’s Goat.,,2018-10-04
2018-10-08,Don't Breathe,2016,https://letterboxd.com/rotoloboi/film/dont-breathe-2016/,3,,13 reasons why you should always kill the dog.,,2018-10-08
2018-10-16,"I, Tonya",2017,https://letterboxd.com/rotoloboi/film/i-tonya/,3.5,,"I, Bored (just kidding this was good)",,2018-10-15
2018-10-17,The Edge of Seventeen,2016,https://letterboxd.com/rotoloboi/film/the-edge-of-seventeen/,3.5,,And to think the only thing my high school teachers gave me was stomach ulcers.,,2018-10-16
2018-10-22,Sorry to Bother You,2018,https://letterboxd.com/rotoloboi/film/sorry-to-bother-you/,5,,Nice earrings,,2018-10-22
2018-10-24,Lady Bird,2017,https://letterboxd.com/rotoloboi/film/lady-bird/,4.5,,Juno Bird,,2018-10-23
2018-10-24,Baby Driver,2017,https://letterboxd.com/rotoloboi/film/baby-driver/,4,,This movie shouldn’t have been good,,2018-10-23
2018-11-03,A Star Is Born,2018,https://letterboxd.com/rotoloboi/film/a-star-is-born-2018/,4,,Oh? I’m crying now? Tight!,,2018-11-02
2018-11-19,Boy Erased,2018,https://letterboxd.com/rotoloboi/film/boy-erased/,4,,This was real.,,2018-11-18
2018-11-30,Henry Gamble's Birthday Party,2015,https://letterboxd.com/rotoloboi/film/henry-gambles-birthday-party/,2.5,,I can only hope for this much drunken adult behavior to bless me with its presence by the time I’m 40,,2018-11-29
2018-12-07,The Florida Project,2017,https://letterboxd.com/rotoloboi/film/the-florida-project/,3.5,,Same pace throughout entire movie until ending hit a roadblock,,2018-12-06
2018-12-09,The Times of Harvey Milk,1984,https://letterboxd.com/rotoloboi/film/the-times-of-harvey-milk/,4.5,,Straight white men ruining everything again,,2018-12-08
2018-12-10,mother!,2017,https://letterboxd.com/rotoloboi/film/mother-2017/,2.5,,I could have done 12 sudokus and saved myself the stomach ulcers in the time I wasted watching this,,2018-12-10
2018-12-15,Dumplin',2018,https://letterboxd.com/rotoloboi/film/dumplin/,2.5,,As per usual the drag queens save the day,,2018-12-14
2018-12-15,Scrooge,1935,https://letterboxd.com/rotoloboi/film/scrooge-1935/,3,,Slow classic,,2018-12-14
2018-12-17,Springsteen On Broadway,2018,https://letterboxd.com/rotoloboi/film/springsteen-on-broadway/,3.5,,The boss makes the most of 2.5 hrs but this format is prone to staleness,,2018-12-16
2018-12-18,Vox Lux,2018,https://letterboxd.com/rotoloboi/film/vox-lux/,5,,Who is going to remedy Natalie Portman’s fixation with feathers?,,2018-12-17
2018-12-22,BlacKkKlansman,2018,https://letterboxd.com/rotoloboi/film/blackkklansman/,5,,The best movie of 2018.,,2018-12-21
2018-12-24,Suspiria,2018,https://letterboxd.com/rotoloboi/film/suspiria-2018/,4.5,,Rosemary’s ballet studio,,2018-12-23
2018-12-27,The Favourite,2018,https://letterboxd.com/rotoloboi/film/the-favourite/,4,,The regal killing of a sacred lobster,,2018-12-26
2018-12-29,Mary Poppins Returns,2018,https://letterboxd.com/rotoloboi/film/mary-poppins-returns/,2.5,,Mary isn’t known for brevity,,2018-12-28
2018-12-31,Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/rotoloboi/film/spider-man-into-the-spider-verse/,5,,Spider?! I hardly know her !,,2018-12-30
2019-01-01,Bird Box,2018,https://letterboxd.com/rotoloboi/film/bird-box/,2,,the BLIND side,,2018-12-31
2019-01-01,Black Mirror: Bandersnatch,2018,https://letterboxd.com/rotoloboi/film/black-mirror-bandersnatch/,3,,⑃,,2018-12-31
2019-01-02,Bobby Sands: 66 Days,2016,https://letterboxd.com/rotoloboi/film/bobby-sands-66-days/,3.5,,Gandhi who?,,2019-01-01
2019-01-05,Borg vs McEnroe,2017,https://letterboxd.com/rotoloboi/film/borg-vs-mcenroe/,3.5,,I’m McEnroe and the London crowd is my family.,,2019-01-04
2019-01-24,Fyre,2019,https://letterboxd.com/rotoloboi/film/fyre-2019/,3.5,,"Behind every team of scammers, there’s a good man named Keith.",,2019-01-23
2019-01-25,What Happened to Monday,2017,https://letterboxd.com/rotoloboi/film/what-happened-to-monday/,2.5,,GOD aren’t Mondays the worst!!!,,2019-01-24
2019-01-26,American Circumcision,2017,https://letterboxd.com/rotoloboi/film/american-circumcision/,3,,so... here I am... watching a documentary on circumcision... at 2 am... on a Thursday...,,2019-01-24
2019-01-26,Extremis,2016,https://letterboxd.com/rotoloboi/film/extremis/,2.5,,Toughest profession and situation to be in,,2019-01-25
2019-01-27,The American Meme,2018,https://letterboxd.com/rotoloboi/film/the-american-meme/,2,,This doc confirmed my suspicions that most Instagram dogs will leave a bigger impact on this world than I will.,,2019-01-26
2019-01-27,"My Teacher, My Obsession",2018,https://letterboxd.com/rotoloboi/film/my-teacher-my-obsession/,0.5,,Perfect depiction of what happens when you name your daughter Kyla,,2019-01-27
2019-01-30,Avicii: True Stories,2017,https://letterboxd.com/rotoloboi/film/avicii-true-stories/,3,,Struggled with the duplicity of playing constant EDM yet remembrance of his passing,,2019-01-29
2019-02-05,Velvet Buzzsaw,2019,https://letterboxd.com/rotoloboi/film/velvet-buzzsaw/,2.5,,Chekhov’s tattoo.,,2019-02-04
2019-02-11,The Gate,1987,https://letterboxd.com/rotoloboi/film/the-gate/,2.5,,"Actual dialogue from the film:
*sees bloody family portait*
Glenn: “Hey al...”
Al: “yeah”
Glenn: “You know what... nevermind”",,2019-02-10
2019-02-11,Shrek Retold,2018,https://letterboxd.com/rotoloboi/film/shrek-retold/,4,,Cliff was on LSD as he was making his notes this time,,2019-02-11
2019-02-15,Brooklyn,2015,https://letterboxd.com/rotoloboi/film/brooklyn/,4,Yes,This film always makes me so emo,,2019-02-14
2019-02-17,Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/rotoloboi/film/eternal-sunshine-of-the-spotless-mind/,4.5,,I wish I could have this movie wiped from my mind so I could rewatch it. Wow.,,2019-02-16
2019-02-22,Goodnight Mommy,2014,https://letterboxd.com/rotoloboi/film/goodnight-mommy/,4,,Glad mommy will be getting some sleep because I will not.,,2019-02-21
2019-03-03,Grandmother's Gold,2018,https://letterboxd.com/rotoloboi/film/grandmothers-gold/,2.5,,"Brian’s creative timing is equally impeccable as it is unpredictable, and I eat it up.",,2019-03-02
2019-03-04,Transformer,2018,https://letterboxd.com/rotoloboi/film/transformer-2018/,3.5,,This was more important/powerful than “Kroc.”,,2019-03-04
2019-03-15,Nothing to Hide,2018,https://letterboxd.com/rotoloboi/film/nothing-to-hide-2018/,3.5,,Actually really enjoyed this until the end; would’ve given it higher had the ending applied to my experience watching the movie.,,2019-03-15
2019-04-23,Captain America: The First Avenger,2011,https://letterboxd.com/rotoloboi/film/captain-america-the-first-avenger/,3.5,,Just a necessary watch before Endgame,,2019-04-22
2019-04-25,Ant-Man and the Wasp,2018,https://letterboxd.com/rotoloboi/film/ant-man-and-the-wasp/,2.5,,Needed an epiPen just to get through this.,,2019-04-24
2019-05-25,Avengers: Endgame,2019,https://letterboxd.com/rotoloboi/film/avengers-endgame/,4,,Feeling avenged,,2019-04-29
2019-05-31,Brightburn,2019,https://letterboxd.com/rotoloboi/film/brightburn/,2.5,,Redemption came as the credits rolled and Billie Eilish started playing,,2019-05-30
2019-06-06,Stonewall Uprising,2010,https://letterboxd.com/rotoloboi/film/stonewall-uprising/,3.5,,Important !,,2019-06-06
2019-06-12,The Birdcage,1996,https://letterboxd.com/rotoloboi/film/the-birdcage/,4,,I know why the caged Agador sings.,,2019-06-11
2019-07-04,Midsommar,2019,https://letterboxd.com/rotoloboi/film/midsommar/,5,,Coachella looked weird as hell this year,,2019-07-03
2019-07-10,The Graduate,1967,https://letterboxd.com/rotoloboi/film/the-graduate/,3.5,,This was just a plug for Simon & Garfunkel’s melancholy whaling,,2019-07-09
2019-08-07,Pokémon Detective Pikachu,2019,https://letterboxd.com/rotoloboi/film/pokemon-detective-pikachu/,3,,I felt my childhood in my jellies,,2019-08-05
2019-08-10,Dan in Real Life,2007,https://letterboxd.com/rotoloboi/film/dan-in-real-life/,3,,Swingers party for schmucks,,2019-08-08
2019-08-15,The Farewell,2019,https://letterboxd.com/rotoloboi/film/the-farewell-2019/,4.5,,"Now watch me WEEP, now watch me NAI NAI",,2019-08-13
2019-08-15,The Notebook,2004,https://letterboxd.com/rotoloboi/film/the-notebook/,3,,The composition notebook,,2019-08-13
2019-08-17,Your Sister's Sister,2011,https://letterboxd.com/rotoloboi/film/your-sisters-sister/,3.5,,Your sisterwife’s sisterwife,,2019-08-15
2019-08-26,Roll Red Roll,2018,https://letterboxd.com/rotoloboi/film/roll-red-roll/,3.5,,"Truly what was most shocking was that I wasn’t shocked at all. Men protecting men protecting an institution, and nobody was protecting the victim.",,2019-08-25
2019-09-20,Glitter,2001,https://letterboxd.com/rotoloboi/film/glitter/,1,,I wish she got shot instead,,2019-09-19
2019-10-11,Paddington 2,2017,https://letterboxd.com/rotoloboi/film/paddington-2/,4.5,,"If you’re kind and polite, you’ll get 4.5 stars.",,2019-10-10
2019-11-30,Hustlers,2019,https://letterboxd.com/rotoloboi/film/hustlers-2019/,3.5,,Men deserve it,,2019-11-29
2019-12-06,Ready or Not,2019,https://letterboxd.com/rotoloboi/film/ready-or-not-2019/,3.5,,At least she trapped a man.,,2019-12-05
2019-12-18,The Holiday,2006,https://letterboxd.com/rotoloboi/film/the-holiday/,3.5,,I think even jack black forgot he was in this movie.,,2019-12-16
2020-04-20,Love Wedding Repeat,2020,https://letterboxd.com/rotoloboi/film/love-wedding-repeat/,3,,Better than expected!,,2020-04-19
2020-04-28,Sex and the City 2,2010,https://letterboxd.com/rotoloboi/film/sex-and-the-city-2/,1,,🗑,,2020-04-25
2020-06-06,The Curious Case of Benjamin Button,2008,https://letterboxd.com/rotoloboi/film/the-curious-case-of-benjamin-button/,2,,would have given five stars if we got to see a 6 foot tall man-baby at the end,,2020-06-05
2020-07-06,Coherence,2013,https://letterboxd.com/rotoloboi/film/coherence/,4.5,,Ketamine? Glow sticks? Fighting with yourself? Sounds like pride 2018 if you ask me.,,2020-07-05
2020-07-07,Dogtooth,2009,https://letterboxd.com/rotoloboi/film/dogtooth/,2.5,,My chandelier was surprised to find my pumpkin clockwise turncoat razor dreidel.,,2020-07-06
2020-07-10,Nocturnal Animals,2016,https://letterboxd.com/rotoloboi/film/nocturnal-animals/,3,,One star for every minute without a shower scene.,,2020-07-09
2020-07-11,The Assent,2019,https://letterboxd.com/rotoloboi/film/the-assent/,1,,The scariest part of this movie was the amount of food this man crammed down his disposal-less sink drain.,,2020-07-10
2020-07-11,Evil Dead,2013,https://letterboxd.com/rotoloboi/film/evil-dead/,4,Yes,Wildest Jeep commercial of 2013,,2020-07-11
2020-07-13,Prayers for Bobby,2009,https://letterboxd.com/rotoloboi/film/prayers-for-bobby/,3.5,Yes,Important,,2020-07-12
2020-07-13,The Circle,2017,https://letterboxd.com/rotoloboi/film/the-circle-2017/1/,2.5,Yes,Black Mirror walked so The Circle could drive its truck off a bridge and into a ravine.,,2020-07-12
2020-07-13,Splinter,2008,https://letterboxd.com/rotoloboi/film/splinter-2008/,2,,John Carpenter would weep.,,2020-07-12
2020-07-13,Clueless,1995,https://letterboxd.com/rotoloboi/film/clueless/,4,Yes,Alicia Silverstone could slap my mom across the face and I would clap,,2020-07-12
2020-07-16,The Brass Teapot,2012,https://letterboxd.com/rotoloboi/film/the-brass-teapot/,3,Yes,"I had my own brass teapot while watching this! And by brass teapot, I mean an entire coffee mug of chocolate mousse. I love Juno temple.",,2020-07-15
2020-07-17,Premium Rush,2012,https://letterboxd.com/rotoloboi/film/premium-rush/,3.5,Yes,"When movie ticket said:    :-)
I felt that.",,2020-07-16
2020-07-18,Sorry to Bother You,2018,https://letterboxd.com/rotoloboi/film/sorry-to-bother-you/1/,4,Yes,So this is what happened to the Winklevoss twin that murdered the other after Mark Zuckerburg stoke their first business idea.,,2020-07-17
2020-07-19,Valentine's Day,2010,https://letterboxd.com/rotoloboi/film/valentines-day/,2,,"Gay people:  *exist*
This movie:  😮",,2020-07-18
2020-07-19,Ideal Home,2018,https://letterboxd.com/rotoloboi/film/ideal-home/,3,,Paul Rudd’s beard threw the first brick at stonewall,,2020-07-18
2020-07-20,Brokeback Mountain,2005,https://letterboxd.com/rotoloboi/film/brokeback-mountain/,4,Yes,Mike Pence’s America,,2020-07-19
2020-07-20,American Hustle,2013,https://letterboxd.com/rotoloboi/film/american-hustle/,4,,Bradley Cooper with curls was the hateful addition my quarantine needed.,,2020-07-19
2020-07-21,mother!,2017,https://letterboxd.com/rotoloboi/film/mother-2017/1/,4,Yes,"My roommate after viewing: “okayyyyy that was not where I thought that was going. I thought some crazy woman named Mother was gonna come out of a freakin hole in the wall”

Darren you twisted bastard.",,2020-07-20
2020-07-22,Brené Brown: The Call to Courage,2019,https://letterboxd.com/rotoloboi/film/brene-brown-the-call-to-courage/,3.5,,I can’t believe Brené tucked every member of the audience into bed and kissed them on the forehead. Tender!,,2020-07-21
2020-07-23,The Hunger Games,2012,https://letterboxd.com/rotoloboi/film/the-hunger-games/,3,Yes,"Replace Cato with my racist uncle and you have yourself thanksgiving dinner 2019. Complete with a cornucopia, suicide threats, and eating of cooked squirrels.",,2020-07-22
2020-07-25,Vivarium,2019,https://letterboxd.com/rotoloboi/film/vivarium/,3.5,,Being straight looks exhausting,,2020-07-25
2020-07-27,The Night Eats the World,2018,https://letterboxd.com/rotoloboi/film/the-night-eats-the-world/,2,,Post Covid vaccine France looks great!,,2020-07-26
2020-07-27,Man of the House,1995,https://letterboxd.com/rotoloboi/film/man-of-the-house/,1,,"Please welcome to the stage, the most poorly aged movie of all time!!!!",,2020-07-26
2020-07-27,The Hunger Games: Catching Fire,2013,https://letterboxd.com/rotoloboi/film/the-hunger-games-catching-fire/,3.5,,"Elizabeth Banks is the mother I never had, the sister everybody would want, and the friend that everybody deserves. I don’t know a better person.",,2020-07-26
2020-07-28,The Hunger Games: Mockingjay - Part 1,2014,https://letterboxd.com/rotoloboi/film/the-hunger-games-mockingjay-part-1/,2.5,Yes,"Peeta, at the end of the movie, reminds me of myself after I binged 6 seasons of Monk on my iPod touch freshman year of high school. Man I miss monk",,2020-07-27
2020-07-29,Mad Max: Fury Road,2015,https://letterboxd.com/rotoloboi/film/mad-max-fury-road/,4.5,Yes,It’s the escape of the Victoria secret models,,2020-07-28
2020-07-30,The Hunger Games: Mockingjay - Part 2,2015,https://letterboxd.com/rotoloboi/film/the-hunger-games-mockingjay-part-2/,3,,I can’t believe Tigress invented drag,,2020-07-29
2020-07-31,The Glass House,2001,https://letterboxd.com/rotoloboi/film/the-glass-house/,2,,Most unrealistic part of this whole movie was the willpower of a couple to raise two (2) children for an inheritance scheme. No amount of money could convince me.,,2020-07-31
2020-08-01,Bad Education,2019,https://letterboxd.com/rotoloboi/film/bad-education-2019/,4,,High schools stealing under the guise of education! Colleges are shook!,,2020-07-31
2020-08-02,Jojo Rabbit,2019,https://letterboxd.com/rotoloboi/film/jojo-rabbit/,4.5,,A 108 minute tutorial on how to tie your shoes.,,2020-08-01
2020-08-03,Ready Player One,2018,https://letterboxd.com/rotoloboi/film/ready-player-one/,4,,As someone who is from Columbus I can confirm that this is in fact a documentary.,,2020-08-02
2020-08-04,21,2008,https://letterboxd.com/rotoloboi/film/21/,2.5,Yes,Kevin spacey is dead now oh well,,2020-08-03
2020-08-06,Bo Burnham: Make Happy,2016,https://letterboxd.com/rotoloboi/film/bo-burnham-make-happy/,4.5,Yes,I’m less sad!,,2020-08-05
2020-08-06,Bo Burnham: What.,2013,https://letterboxd.com/rotoloboi/film/bo-burnham-what/,4,Yes,What I would give to be  as self aware as 22 year old bo burnham,,2020-08-05
