Date,Name,Year,Letterboxd URI
2017-08-29,Ingrid Goes West,2017,https://letterboxd.com/film/ingrid-goes-west/
2018-08-24,Won't You Be My Neighbor?,2018,https://letterboxd.com/film/wont-you-be-my-neighbor/
2018-08-24,Minding the Gap,2018,https://letterboxd.com/film/minding-the-gap/
2018-10-04,The Vampyre,,https://letterboxd.com/film/the-vampyre/
2018-10-04,The Hours,2002,https://letterboxd.com/film/the-hours/
2018-10-04,God's Own Country,2017,https://letterboxd.com/film/gods-own-country-2017/
2018-10-06,Blind Chance,1987,https://letterboxd.com/film/blind-chance/
2018-10-06,Glass,2019,https://letterboxd.com/film/glass-2019/
2018-10-06,Find Me,,https://letterboxd.com/film/find-me-1/
2018-10-09,Private Life,2018,https://letterboxd.com/film/private-life-2018/
2018-10-12,I Saw the Devil,2010,https://letterboxd.com/film/i-saw-the-devil/
2018-10-12,Nightcrawler,2014,https://letterboxd.com/film/nightcrawler/
2018-10-16,Blue Lips,2018,https://letterboxd.com/film/blue-lips/
2018-10-16,First Man,2018,https://letterboxd.com/film/first-man/
2018-10-16,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/
2018-10-26,Born to Be Blue,2015,https://letterboxd.com/film/born-to-be-blue/
2018-10-28,Hunt for the Wilderpeople,2016,https://letterboxd.com/film/hunt-for-the-wilderpeople/
2018-10-29,The Conjuring: The Devil Made Me Do It,2021,https://letterboxd.com/film/the-conjuring-the-devil-made-me-do-it/
2018-10-30,Butch Cassidy and the Sundance Kid,1969,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/
2018-11-04,Roma,2018,https://letterboxd.com/film/roma-2018/
2018-11-04,The Hate U Give,2018,https://letterboxd.com/film/the-hate-u-give/
2018-11-17,Loving Vincent,2017,https://letterboxd.com/film/loving-vincent/
2018-11-19,On the Basis of Sex,2018,https://letterboxd.com/film/on-the-basis-of-sex/
2018-12-06,Guardians of the Galaxy Vol. 3,2023,https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/
2018-12-06,The Lion King,2019,https://letterboxd.com/film/the-lion-king-2019/
2018-12-06,Scary Stories to Tell in the Dark,2019,https://letterboxd.com/film/scary-stories-to-tell-in-the-dark-2019/
2018-12-10,Escape Room,2019,https://letterboxd.com/film/escape-room-2019/
2018-12-10,Grizzly Man,2005,https://letterboxd.com/film/grizzly-man/
2018-12-10,The White Diamond,2004,https://letterboxd.com/film/the-white-diamond/
2018-12-11,Citizenfour,2014,https://letterboxd.com/film/citizenfour/
2018-12-11,Firefly,2005,https://letterboxd.com/film/firefly/
2018-12-11,What We Do in the Shadows,2014,https://letterboxd.com/film/what-we-do-in-the-shadows/
2018-12-15,Burning,2018,https://letterboxd.com/film/burning-2018/
2018-12-22,Columbus,2017,https://letterboxd.com/film/columbus-2017/
2018-12-22,Thelma,2017,https://letterboxd.com/film/thelma-2017/
2018-12-23,Thunder Road,2018,https://letterboxd.com/film/thunder-road-2018/
2018-12-23,Paprika,2006,https://letterboxd.com/film/paprika-2006/
2018-12-23,Three Colors: Red,1994,https://letterboxd.com/film/three-colors-red/
2018-12-23,November,2017,https://letterboxd.com/film/november-2017/
2018-12-27,Hard Candy,2005,https://letterboxd.com/film/hard-candy/
2018-12-27,Fish Tank,2009,https://letterboxd.com/film/fish-tank/
2018-12-27,The Loved Ones,2009,https://letterboxd.com/film/the-loved-ones/
2018-12-27,Kinsey,2004,https://letterboxd.com/film/kinsey/
2018-12-29,Sing Street,2016,https://letterboxd.com/film/sing-street/
2018-12-31,Trainspotting,1996,https://letterboxd.com/film/trainspotting/
2018-12-31,Raw,2016,https://letterboxd.com/film/raw-2016/
2018-12-31,Steve Jobs,2015,https://letterboxd.com/film/steve-jobs/
2018-12-31,Shame,2011,https://letterboxd.com/film/shame-2011/
2018-12-31,Kung Fury II: The Movie,2020,https://letterboxd.com/film/kung-fury-ii-the-movie/
2019-01-02,Requiem for a Dream,2000,https://letterboxd.com/film/requiem-for-a-dream/
2019-01-06,American Honey,2016,https://letterboxd.com/film/american-honey/
2019-01-07,Birth,2004,https://letterboxd.com/film/birth-2004/
2019-01-14,Jason X,2001,https://letterboxd.com/film/jason-x/
2019-01-14,Moonstruck,1987,https://letterboxd.com/film/moonstruck/
2019-01-19,Tootsie,1982,https://letterboxd.com/film/tootsie/
2019-01-29,Kedi,2016,https://letterboxd.com/film/kedi-2016/
2019-01-30,Somewhere,2010,https://letterboxd.com/film/somewhere/
2019-02-11,In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/
2019-02-20,Contact,1997,https://letterboxd.com/film/contact/
2019-03-29,The Clock,2010,https://letterboxd.com/film/the-clock-2010/
2019-04-24,Mansome,2012,https://letterboxd.com/film/mansome/
2019-08-18,Munchausen,2013,https://letterboxd.com/film/munchausen/
2019-08-25,Blinded by the Light,2019,https://letterboxd.com/film/blinded-by-the-light-2019/
2019-09-07,HyperNormalisation,2016,https://letterboxd.com/film/hypernormalisation/
2019-09-18,Villains,2019,https://letterboxd.com/film/villains-2019/
2019-09-26,The Invisible War,2012,https://letterboxd.com/film/the-invisible-war/
2019-10-01,Monos,2019,https://letterboxd.com/film/monos/
2019-10-15,Climax,2018,https://letterboxd.com/film/climax-2018/
2019-12-07,Dark Waters,2019,https://letterboxd.com/film/dark-waters-2019/
2019-12-07,First Reformed,2017,https://letterboxd.com/film/first-reformed/
2019-12-27,The Two Popes,2019,https://letterboxd.com/film/the-two-popes/
2019-12-27,The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/
2019-12-27,1917,2019,https://letterboxd.com/film/1917/
2019-12-27,Queen & Slim,2019,https://letterboxd.com/film/queen-slim/
2019-12-27,Apollo 11,2019,https://letterboxd.com/film/apollo-11-2019/
2019-12-27,Widows,2018,https://letterboxd.com/film/widows-2018/
2019-12-27,Shoplifters,2018,https://letterboxd.com/film/shoplifters/
2020-04-13,Captain Marvel 2,2022,https://letterboxd.com/film/captain-marvel-2-2022/
2020-05-11,"As Above, So Below",2014,https://letterboxd.com/film/as-above-so-below-2014/
2020-05-15,Bad Blood,2022,https://letterboxd.com/film/film:338131/
2020-05-28,Freakonomics,2010,https://letterboxd.com/film/freakonomics/
2020-05-31,The Lodge,2019,https://letterboxd.com/film/the-lodge-2019/
2020-07-04,The Rental,2020,https://letterboxd.com/film/the-rental/
2020-07-06,Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
2020-07-06,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/
2020-07-06,Come and See,1985,https://letterboxd.com/film/come-and-see/
2020-07-06,Melancholia,2011,https://letterboxd.com/film/melancholia/
2020-07-06,And Then We Danced,2019,https://letterboxd.com/film/and-then-we-danced/
2020-07-06,Lost Highway,1997,https://letterboxd.com/film/lost-highway/
2020-07-06,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/
2020-07-06,Fargo,1996,https://letterboxd.com/film/fargo/
2020-07-06,Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/
2020-07-06,The Godfather,1972,https://letterboxd.com/film/the-godfather/
2020-07-06,Saving Private Ryan,1998,https://letterboxd.com/film/saving-private-ryan/
2020-07-06,Locke,2013,https://letterboxd.com/film/locke/
2020-07-06,Obvious Child,2014,https://letterboxd.com/film/obvious-child/
2020-07-06,Million Dollar Baby,2004,https://letterboxd.com/film/million-dollar-baby/
2020-07-06,Schindler's List,1993,https://letterboxd.com/film/schindlers-list/
2020-07-06,American History X,1998,https://letterboxd.com/film/american-history-x/
2020-07-06,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/
2020-07-06,Only God Forgives,2013,https://letterboxd.com/film/only-god-forgives/
2020-07-06,Me Before You,2016,https://letterboxd.com/film/me-before-you/
2020-07-22,Marie Antoinette,2006,https://letterboxd.com/film/marie-antoinette-2006/
2020-07-23,Red Penguins,2019,https://letterboxd.com/film/red-penguins/
2020-07-27,The Others,2001,https://letterboxd.com/film/the-others/
2020-07-27,Chappie,2015,https://letterboxd.com/film/chappie/
2020-07-28,Promising Young Woman,2020,https://letterboxd.com/film/promising-young-woman/
2020-07-30,The Wrestler,2008,https://letterboxd.com/film/the-wrestler/
2020-07-30,Possession,1981,https://letterboxd.com/film/possession/
2020-07-31,Annihilation,2018,https://letterboxd.com/film/annihilation/
2020-08-06,Bowling for Columbine,2002,https://letterboxd.com/film/bowling-for-columbine/
